TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WON,SEED,YEAR
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,1,1,2015
Virginia,ACC,38,35,123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,1,1,2019
North Carolina,ACC,39,33,121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,1,1,2017
Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,1,2,2016
Villanova,BE,40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,1,1,2018
Connecticut,Amer,40,32,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,1,7,2014
Louisville,BE,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,1,1,2013
Baylor,B12,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1,2021
Kansas,B12,40,34,119.8,91.3,0.958,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,1,1,2022
Connecticut,BE,39,31,121.5,91.2,0.9643,53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,53.6,44.4,36.3,29.7,66.7,5,1,4,2023
Louisville,ACC,36,27,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,1,4,2015
Notre Dame,ACC,38,32,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,1,3,2015
Notre Dame,ACC,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,1,6,2016
Virginia,ACC,37,29,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,1,1,2016
Duke,ACC,37,29,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,1,2,2018
Florida St.,ACC,35,23,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,0.9,1,9,2018
Duke,ACC,38,32,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,1,1,2019
Purdue,B10,36,26,122.8,94.3,0.9539,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,6.1,1,3,2019
Kansas,B12,37,32,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,1,1,2016
Kansas,B12,36,31,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,11,1,1,2017
Kansas St.,B12,37,25,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,2.5,1,9,2018
Texas Tech,B12,37,27,112.7,91.5,0.917,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4.7,1,3,2018
Xavier,BE,38,24,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,1.6,1,11,2017
Arizona,P12,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,1,2,2015
Oregon,P12,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,1,1,2016
Florida,SEC,36,27,116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,6.4,1,4,2017
Kentucky,SEC,38,32,118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9,1,2,2017
Kentucky,SEC,37,30,117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,1,2,2019
Gonzaga,WCC,37,34,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,1,2,2015
Gonzaga,WCC,37,33,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,1,1,2019
Arizona,P12,38,33,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,9.4,1,1,2014
Michigan,B10,37,28,125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,1,2,2014
Michigan St.,B10,38,29,119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,1,4,2014
Dayton,A10,37,26,113,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,65.4,0.6,1,11,2014
Ohio St.,B10,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,1,2,2013
Duke,ACC,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,1,2,2013
Marquette,BE,35,26,113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,1,3,2013
Florida,SEC,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,1,3,2013
Michigan,B10,24,20,118.1,91.1,0.9521,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,66.9,7.2,1,1,2021
Arkansas,SEC,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,1,3,2021
USC,P12,29,22,112,92,0.9052,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,52.1,42.2,34.8,34.2,67.2,3.6,1,6,2021
Oregon St.,P12,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,1,12,2021
Arkansas,SEC,37,28,108.7,90.7,0.8894,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,1,4,2022
Houston,Amer,38,32,116.5,88.5,0.9595,53.1,43.3,16.9,21.7,37.7,28,29,34.7,54.5,43.4,33.8,28.8,63.7,6.2,1,5,2022
Miami FL,ACC,37,26,113.6,97.9,0.8467,53.4,52.5,14,20.4,22.4,30.3,28.9,24.8,54.8,53,33.9,34.5,67.7,2.6,1,10,2022
Saint Peter's,MAAC,33,22,99.4,93.1,0.6786,47.5,44.2,20.1,20.5,30.9,29,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,1,15,2022
Texas,B12,38,29,116.1,91.8,0.9371,53.3,48.1,16.3,22.1,28.3,29,30.5,33.7,54,47.9,34.7,32.4,68.5,7.5,1,2,2023
Kansas St.,B12,36,26,112.6,94.7,0.8803,52.3,48.1,19.3,21,29.9,30.3,36.1,36.3,52.8,49.2,34.3,30.8,69.8,4.2,1,3,2023
Gonzaga,WCC,36,31,123.2,99,0.9251,57.6,51.4,14.8,17.8,31.2,25.6,34.1,26,58.2,50.6,37.5,35.2,70.1,6.6,1,3,2023
Creighton,BE,37,24,115,93.2,0.9177,54.2,47.1,16.6,13.9,25.3,23.5,28.4,19.7,55.1,45.7,35.4,33.6,67.7,2.2,1,6,2023
Syracuse,ACC,37,23,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,1,10,2016
Michigan St.,B10,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,1,7,2015
Michigan St.,B10,39,32,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,1,2,2019
Oklahoma,B12,37,29,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,1,2,2016
Kansas,B12,39,31,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,1,1,2018
Loyola Chicago,MVC,37,32,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,1,11,2018
Oregon,P12,38,33,117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,1,3,2017
Kentucky,SEC,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,1,1,2015
South Carolina,SEC,36,26,108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,1,7,2017
Auburn,SEC,39,30,121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,1,5,2019
Florida,SEC,39,36,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,1,1,2014
Wisconsin,B10,38,30,122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,1,2,2014
Syracuse,BE,40,30,113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,1,4,2013
Wichita St.,MVC,39,30,110.6,91,0.9045,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,1,9,2013
Houston,Amer,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,1,2,2021
UCLA,P12,26,17,112.3,97.5,0.835,52,50.7,16.6,17.6,30.4,24.4,32.6,28,50.6,49.4,36.7,35.1,64.7,1,1,11,2021
Duke,ACC,39,32,122.7,96,0.944,55.6,47.1,15,15.7,31.7,28.9,28.6,19.1,56,46.6,36.6,32,67.4,7.2,1,2,2022
Villanova,BE,38,30,117.2,93,0.9346,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25,49.5,48.1,35.9,30.8,62.2,7.3,1,2,2022
Miami FL,ACC,37,29,119.1,100.9,0.8715,54.3,51.2,16.1,18.1,31.8,28.8,30.7,24,53.8,51.8,36.8,33.5,68.6,3.7,1,5,2023
Florida Atlantic,CUSA,37,35,114,95.8,0.8815,54.3,46.1,16.9,17.7,31.4,25.4,29.6,26.3,53.8,44.7,36.6,32.4,67.5,4.7,1,9,2023
North Carolina,ACC,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,0,4,2015
North Carolina St.,ACC,36,22,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,0,8,2015
Duke,ACC,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,0,4,2016
Miami FL,ACC,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,0,3,2016
Clemson,ACC,35,25,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,67.2,3.9,0,5,2018
Syracuse,ACC,37,23,106,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64,-0.4,0,11,2018
Florida St.,ACC,37,29,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,70,7.6,0,4,2019
North Carolina,ACC,36,29,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76,10,0,1,2019
Virginia Tech,ACC,35,26,117.8,93.4,0.9357,55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49,39.4,32.7,65.1,5,0,4,2019
Houston,Amer,37,33,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,67.3,7.8,0,3,2019
Indiana,B10,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,0,5,2016
Maryland,B10,35,26,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,67.9,4,0,5,2016
Wisconsin,B10,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,0,7,2016
Michigan,B10,38,26,123.3,97.6,0.9366,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,64,3.8,0,7,2017
Purdue,B10,35,27,116.6,93.1,0.9297,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,0,4,2017
Wisconsin,B10,37,27,114.5,92,0.9255,52.1,47.5,17,19.5,35.9,25.9,32.9,28,51.1,43.1,35.9,37.6,64.4,5.1,0,8,2017
Purdue,B10,37,30,123.2,95.7,0.9484,57.7,47,15.8,17.7,28,28,35.6,24.2,54.1,45.5,42,33.2,68.7,7.6,0,2,2018
Michigan,B10,37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,0,2,2019
Oklahoma,B12,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,0,3,2015
West Virginia,B12,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,0,5,2015
Iowa St.,B12,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,0,3,2016
Baylor,B12,34,27,116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,65.1,7.9,0,3,2017
West Virginia,B12,37,28,115.4,89.3,0.9498,51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,0,4,2017
West Virginia,B12,37,26,120.9,95.8,0.9353,50.4,49.9,16.5,23.3,37,30.1,31.3,44.1,48.8,45.4,35.3,38,71.2,4.6,0,5,2018
Xavier,BE,37,23,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,0,6,2015
Butler,BE,34,25,117.7,96.9,0.9038,54.6,50.8,15,19.6,27.2,27,37.1,37,54.5,51.3,36.6,33.3,67.2,5.5,0,4,2017
Wichita St.,MVC,34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,0,7,2015
Nevada,MWC,37,29,118.9,102.5,0.8462,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,0,7,2018
UCLA,P12,36,22,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0,0,11,2015
Utah,P12,34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,0,5,2015
Arizona,P12,37,32,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,51.5,48.4,39,31,67.1,7.9,0,2,2017
UCLA,P12,36,31,122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,0,3,2017
Oregon,P12,38,25,108.1,91.7,0.8687,52,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29,65.4,-1.1,0,12,2019
Texas A&M,SEC,37,28,113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,0,3,2016
Kentucky,SEC,37,26,115.8,95.6,0.9,51.8,46.8,18.6,16.8,35.7,31,44,32.3,51.2,48,35.7,30.1,70,4.3,0,5,2018
Texas A&M,SEC,35,22,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32,27.6,52.5,45.7,32.9,32.6,70.3,1.9,0,7,2018
LSU,SEC,35,28,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,0,3,2019
Tennessee,SEC,36,31,122.8,95.2,0.9488,55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,0,2,2019
Gonzaga,WCC,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,0,11,2016
Gonzaga,WCC,37,32,117.2,94.9,0.9192,57,47.1,16.1,17.4,33,23.1,32.1,29.1,58.2,44.1,36.8,35,70.5,4.9,0,4,2018
Virginia,ACC,37,30,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42,32.5,49,42.1,36.9,32.3,61.2,8.2,0,1,2014
Iowa St.,B12,36,28,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46,35.8,34.1,71.6,7.5,0,3,2014
Louisville,Amer,37,31,118.8,87.6,0.971,53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,0,4,2014
San Diego St.,MWC,34,29,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64,6,0,4,2014
UCLA,P12,37,28,119,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53,48.6,38,34.4,70.2,4.5,0,4,2014
Baylor,B12,36,24,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,48.3,46.4,38,35.6,62.9,3.1,0,6,2014
Stanford,P12,36,23,111.7,96.5,0.8436,51.3,48,17,17,29.3,28.1,45,37,49.9,45.8,36.4,34.9,67.2,1.1,0,10,2014
Tennessee,SEC,36,23,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,0,11,2014
Indiana,B10,36,29,121,89.7,0.9692,54.7,44,19.3,20.9,39,31.4,45.8,27,52,43.2,40.3,30.4,67.8,7.8,0,1,2013
Kansas,B12,37,31,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32,52.9,39.3,36.4,30.3,67.7,7.5,0,1,2013
Miami FL,ACC,36,29,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44,36.2,32.6,63,6.3,0,2,2013
Michigan St.,B10,35,26,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,0,3,2013
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,0,6,2013
Oregon,P12,37,28,104.8,88.6,0.8728,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,0,12,2013
La Salle,A10,34,24,112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,0,13,2013
Florida Gulf Coast,ASun,35,24,103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4,0,15,2013
Alabama,SEC,30,24,111,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,0,2,2021
Florida St.,ACC,22,16,117.8,94,0.9305,54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,52.1,44.2,39,33.3,70.4,2.5,0,4,2021
Villanova,BE,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,0,5,2021
Creighton,BE,28,20,114.4,94.3,0.9025,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,3.5,0,5,2021
Oregon,P12,26,20,113.1,98.2,0.835,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,52.9,49.9,37.9,33.6,67.2,3,0,7,2021
Loyola Chicago,MVC,26,24,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,0,8,2021
Syracuse,ACC,25,16,112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,0,11,2021
Oral Roberts,Sum,23,16,107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,0,15,2021
Gonzaga,WCC,32,28,120.3,89.9,0.9662,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37,30.5,72.6,6.7,0,1,2022
Arizona,P12,37,33,118,93.7,0.9341,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24,57,41.8,35.3,32.8,72.3,8.8,0,1,2022
Texas Tech,B12,37,27,110.5,85.4,0.9509,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,0,3,2022
Purdue,B10,37,29,121.6,97.5,0.9267,56.5,49.1,17.5,14,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66,7,0,3,2022
UCLA,P12,35,27,115.8,92.2,0.9321,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.1,0,4,2022
Providence,BE,33,27,111.4,95.5,0.8554,50,46.3,17,15.6,30.3,27.4,37,27,49,47.1,34.4,30,65.3,5.9,0,4,2022
Michigan,B10,34,19,113.9,96.2,0.8741,52.1,49.7,17.3,14.7,31,24,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.2,0,11,2022
Iowa St.,B12,35,22,101.7,88.4,0.8346,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,0,11,2022
Alabama,SEC,37,31,116.1,89,0.9548,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,72.6,10.2,0,1,2023
Houston,Amer,37,33,117.3,90.3,0.9532,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,53.1,43.4,34,27.9,63.4,8,0,1,2023
UCLA,P12,37,31,114.9,88.5,0.9528,51.1,46.8,14.9,23.3,33,28.2,27.4,27.5,50.6,46.9,34.9,31.1,66.1,8.4,0,2,2023
Xavier,BE,37,27,118,98.5,0.889,55.2,50.3,17.2,16.2,30.8,25,31.4,27,53.8,48.6,39,35.8,70.5,5.4,0,3,2023
Tennessee,SEC,36,25,111.2,87.5,0.9401,49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,50.3,45.1,32.8,26.5,65.1,2.8,0,4,2023
Michigan St.,B10,34,21,114.4,96.4,0.8771,51.7,48.6,16.4,14.8,27.6,25.2,27.2,28,48.2,48.7,39.3,32.4,64.6,2.4,0,7,2023
Arkansas,SEC,36,22,111.9,93.3,0.8894,50.9,47.2,18.1,20.5,30.8,27.9,39.3,39.5,52.5,47.4,31.3,31.1,69.5,0.4,0,8,2023
Princeton,Ivy,30,23,109.1,101,0.7083,52.2,48.4,16.5,14.7,28.1,22.6,30.4,28.1,53.3,48.1,33.7,32.7,67,-3.2,0,15,2023
